Country,No of MNCs,Unrelated party,Related party,Total,Profit (loss) before income tax,Income tax paid,Income tax accrued,Stated capital,Accumulated earnings,Number of employees,Tangible assets other than cash
United States,1094,9426747108857,2963022320376,12389769429233,1310477022210,209623491271,257852828271,10423483436815,7587292264034,19601743,4880475615011
Stateless entities and other country,435,593579226642,179679774831,773259001473,215169598661,1148118142,5411714110,1588442256480,720504640487,1026746,394615068843
Angola,14,490150989,3125930343,3616081332,1120023145,686913828,444561887,68060498,30195811,2331,8404005192
Egypt,90,8323861741,922895764,9246757505,1741819057,587941381,561196434,1515181842,10957216128,35347,5107879206
Gabon,8,142297465,16069148,158366613,41806141,9756301,10285669,24623322,-73209157,437,32507572
Ghana,26,1402325482,261858743,1664184225,273890215,46682172,15717530,876039514,1455462096,7085,2907451908
Kenya,49,348130154,168649195,516779349,103088741,38293532,44142280,178133720,-13671167,3692,220224210
Mauritius,85,4450937071,150607965,4601545036,3295709318,73721067,89901603,15879134292,11575642813,2916,16557058
Morocco,67,1349301300,586763962,1936065262,218017215,36606032,39269085,326289403,386098924,24371,560498191
Nigeria,50,2467565409,8755655733,11223221142,3611722926,1854233888,2492735846,3799267937,3961143728,6375,28686528396
South Africa,281,24961506014,2873266261,27834772275,1847854914,498820686,468375145,11519686678,5885949673,98534,6953316136
Tanzania,12,63384681,127598826,190983507,13487421,4883309,5980283,85848472,67517254,3503,147756226
Uganda,10,95701773,36225724,131927497,23612926,7758787,8300958,32722525,85326484,1309,122721960
"Africa, other countries",105,5493576623,4473517942,9967094565,5351999127,1644400112,2025498654,4586211398,2977774722,34702,7917181795
Argentina,248,23604716287,8573407969,32178124256,4070911001,1393364018,1241379574,10297489976,6781928803,87269,7825207461
Bermuda,155,10496410406,59913001875,70409412281,35433763135,838766518,527582197,423797811717,615694292177,369,11561985443
Bolivia,33,436753216,106419896,543173112,58789252,18325809,7843057,208982313,191828661,2182,221553451
Brazil,405,86675186158,19314803788,105989989946,11977613429,3227559073,3059822608,64076130812,16983516177,304407,32757648639
